TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG
RIVERS UNITED,38,23,4,11,49,30,19,73,1.289473684,0.7894736842,1.921052632
SUNSHINE STARS,38,22,5,11,55,36,19,71,1.447368421,0.9473684211,1.868421053
WARRI WOLVES,38,19,9,10,43,28,15,66,1.131578947,0.7368421053,1.736842105
KANO PILLARS,38,20,5,13,46,31,15,65,1.210526316,0.8157894737,1.710526316
ENUGU RANGERS,38,19,6,13,46,29,17,63,1.210526316,0.7631578947,1.657894737
SHARKS FC,38,17,12,9,42,37,5,63,1.105263158,0.9736842105,1.657894737
ENYIMBA,38,19,4,15,44,28,16,61,1.157894737,0.7368421053,1.605263158
KADUNA UNITED,38,16,8,14,42,39,3,56,1.105263158,1.026315789,1.473684211
KWARA UNITED,38,16,5,17,40,45,-5,53,1.052631579,1.184210526,1.394736842
HEARTLAND FC,38,16,4,18,38,35,3,52,1,0.9210526316,1.368421053
LOBI STARS,38,15,7,16,33,42,-9,52,0.8684210526,1.105263158,1.368421053
BUKOLA BABES,38,15,6,17,35,37,-2,51,0.9210526316,0.9736842105,1.342105263
GOMBE UNITED,38,14,8,16,34,36,-2,50,0.8947368421,0.9473684211,1.315789474
NIGER TORNADOES,38,13,11,14,35,43,-8,50,0.9210526316,1.131578947,1.315789474
OCEAN BOYS,38,14,7,17,38,41,-3,49,1,1.078947368,1.289473684
SHOOTING STARS,38,13,8,17,33,38,-5,47,0.8684210526,1,1.236842105
PLATEAU UNITED,38,12,8,18,43,49,-6,44,1.131578947,1.289473684,1.157894737
CROWN FC,38,11,4,23,33,48,-15,37,0.8684210526,1.263157895,0.9736842105
ZAMFARA UNITED,38,10,7,21,25,58,-33,37,0.6578947368,1.526315789,0.9736842105
JUTH FC,38,8,8,22,26,50,-24,32,0.6842105263,1.315789474,0.8421052632
