TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG
KANO PILLARS,38,19,8,11,57,41,16,65,1.5,1.078947368,1.710526316
ENYIMBA,38,18,10,10,50,27,23,64,1.315789474,0.7105263158,1.684210526
WARRI WOLVES,38,18,7,13,49,38,11,61,1.289473684,1,1.605263158
NASARAWA UNITED,38,18,7,13,46,37,9,61,1.210526316,0.9736842105,1.605263158
GIWA FC,38,17,8,13,44,37,7,59,1.157894737,0.9736842105,1.552631579
LOBI STARS,38,19,2,17,40,46,-6,59,1.052631579,1.210526316,1.552631579
ABIA WARRIORS,38,17,7,14,51,40,11,58,1.342105263,1.052631579,1.526315789
ENUGU RANGERS,38,17,7,14,45,37,8,58,1.184210526,0.9736842105,1.526315789
RIVERS UNITED,38,15,10,13,45,34,11,55,1.184210526,0.8947368421,1.447368421
HEARTLAND FC,38,14,13,11,36,27,9,55,0.9473684211,0.7105263158,1.447368421
SUNSHINE STARS,38,14,12,12,51,47,4,54,1.342105263,1.236842105,1.421052632
TARABA FC,38,16,5,17,35,41,-6,53,0.9210526316,1.078947368,1.394736842
SHARKS FC,38,14,10,14,42,39,3,52,1.105263158,1.026315789,1.368421053
EL KANEMI WARRIORS,38,14,9,15,43,35,8,51,1.131578947,0.9210526316,1.342105263
BAYELSA UNITED,38,16,3,19,50,54,-4,51,1.315789474,1.421052632,1.342105263
AKWA UNITED,38,14,9,15,27,34,-7,51,0.7105263158,0.8947368421,1.342105263
GOMBE UNITED,38,14,8,16,42,41,1,50,1.105263158,1.078947368,1.315789474
CROWN FC,38,11,6,21,30,56,-26,39,0.7894736842,1.473684211,1.026315789
KADUNA UNITED FC,38,11,5,22,33,55,-22,38,0.8684210526,1.447368421,1
NEMBE CITY FC,38,6,10,22,23,73,-50,28,0.6052631579,1.921052632,0.7368421053
