TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG
KANO PILLARS,36,17,10,9,43,25,18,61,1.194444444,0.6944444444,1.694444444
ENUGU RANGERS,36,17,7,12,45,27,18,58,1.25,0.75,1.611111111
LOBI STARS,36,18,3,15,38,30,8,57,1.055555556,0.8333333333,1.583333333
ENYIMBA,36,16,6,14,37,28,9,54,1.027777778,0.7777777778,1.5
SUNSHINE STARS,36,15,7,14,41,35,6,52,1.138888889,0.9722222222,1.444444444
KWARA UNITED,36,16,4,16,35,36,-1,52,0.9722222222,1,1.444444444
SHARKS FC,36,16,4,16,43,45,-2,52,1.194444444,1.25,1.444444444
HEARTLAND FC,36,14,9,13,32,31,1,51,0.8888888889,0.8611111111,1.416666667
GOMBE UNITED,36,15,6,15,38,43,-5,51,1.055555556,1.194444444,1.416666667
WIKKI TOURIST,36,16,3,17,34,44,-10,51,0.9444444444,1.222222222,1.416666667
RIVERS UNITED,36,15,5,16,38,40,-2,50,1.055555556,1.111111111,1.388888889
AKWA UNITED,36,15,5,16,29,32,-3,50,0.8055555556,0.8888888889,1.388888889
SHOOTING STARS,36,14,7,15,30,33,-3,49,0.8333333333,0.9166666667,1.361111111
KADUNA UNITED,36,15,4,17,36,43,-7,49,1,1.194444444,1.361111111
BUKOLA BABES,36,14,6,16,43,40,3,48,1.194444444,1.111111111,1.333333333
WARRI WOLVES,36,13,9,14,32,30,2,48,0.8888888889,0.8333333333,1.333333333
NIGER TORNADOES,36,14,6,16,37,42,-5,48,1.027777778,1.166666667,1.333333333
JIGAWA GOLDEN STARS,36,14,6,16,30,43,-13,48,0.8333333333,1.194444444,1.333333333
RISING STARS,36,10,9,17,22,36,-14,39,0.6111111111,1,1.083333333
