TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG
LOBI STARS,24,13,4,7,25,16,9,43,1.041666667,0.6666666667,1.791666667
AKWA UNITED,24,12,5,7,27,17,10,41,1.125,0.7083333333,1.708333333
KANO PILLARS,24,9,11,4,30,17,13,38,1.25,0.7083333333,1.583333333
ENYIMBA,24,9,11,4,23,16,7,38,0.9583333333,0.6666666667,1.583333333
PLATEAU UNITED,24,11,4,9,27,20,7,37,1.125,0.8333333333,1.541666667
NIGER TORNADOES,24,11,4,9,21,23,-2,37,0.875,0.9583333333,1.541666667
KATSINA UNITED,24,11,3,10,28,22,6,36,1.166666667,0.9166666667,1.5
ABIA WARRIORS,24,8,10,6,20,16,4,34,0.8333333333,0.6666666667,1.416666667
RIVERS UNITED,24,9,7,8,22,22,0,34,0.9166666667,0.9166666667,1.416666667
ENUGU RANGERS,24,8,9,7,19,15,4,33,0.7916666667,0.625,1.375
MFM FC,24,10,3,11,22,24,-2,33,0.9166666667,1,1.375
NASARAWA UNITED,24,9,2,13,26,29,-3,29,1.083333333,1.208333333,1.208333333
EL KANEMI WARRIORS,24,8,5,11,17,21,-4,29,0.7083333333,0.875,1.208333333
WIKKI TOURISTS,24,8,5,11,21,26,-5,29,0.875,1.083333333,1.208333333
KWARA UNITED,24,7,8,9,21,28,-7,29,0.875,1.166666667,1.208333333
GO ROUND FC,24,8,5,11,16,23,-7,29,0.6666666667,0.9583333333,1.208333333
IFEANYI UBAH,24,7,7,10,23,26,-3,28,0.9583333333,1.083333333,1.166666667
SUNSHINE STARS,24,8,7,9,22,27,-5,31,0.9166666667,1.125,1.291666667
YOBE STARS,24,8,4,12,20,30,-10,28,0.8333333333,1.25,1.166666667
HEARTLAND FC,24,5,8,11,15,27,-12,23,0.625,1.125,0.9583333333
