MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,SHOOTING STARS,51,5,3,2,14,6,8,1,2,1.11,1.2
10-08-2023,HEARTLAND,50,,,0,,,0,1,0,1.96,0.68
10-14-2023,BENDEL INSURANCE,53,7,2,5,7,3,4,0,1,0.95,1.22
10-22-2023,SUNSHINE STARS,62,9,4,5,2,1,1,1,0,1.67,0.76
10-28-2023,GOMBE UNITED,60,4,2,2,11,5,6,0,1,1.15,1.07
11-01-2023,KATSINA UNITED,59,12,1,11,4,1,3,1,0,1.86,0.64
11-05-2023,AKWA UNITED,46,2,0,2,7,2,5,0,0,0.96,1.42
11-12-2023,ABIA WARRIORS,50,,,0,,,0,3,1,1.55,0.98
11-18-2023,DOMA UNITED,55,12,4,8,7,5,2,0,1,1.46,0.7
