MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA,XG/SHT,XGA/SHT
10-08-2023,NIGER TORNADOES,59,4,2,2,5,2,3,0,1,1.12,0.82,0.28,0.164
10-12-2023,REMO STARS,46,6,4,2,8,1,7,2,0,1.41,0.98,0.235,0.1225
10-15-2023,KWARA UNITED,74,10,3,7,9,2,7,0,0,1.74,0.76,0.174,0.08444444444
10-22-2023,KANO PILLARS,50,9,4,5,7,2,5,0,1,0.9,1.23,0.1,0.1757142857
10-29-2023,LOBI STARS,50,9,4,5,7,2,5,1,0,1.54,0.78,0.1711111111,0.1114285714
11-1-2023,HEARTLAND,47,11,5,6,10,5,5,1,1,1.19,0.87,0.1081818182,0.087
11-06-2023,SUNSHINE STARS,69,11,2,9,5,1,4,1,1,1.53,0.79,0.1390909091,0.158
11-12-2023,KATSINA UNITED,50,9,4,5,7,2,5,0,1,1.14,1.08,0.1266666667,0.1542857143
11-19-2023,ABIA WARRIORS,60,11,5,6,5,2,3,2,1,1.5,0.97,0.1363636364,0.194
