TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG
PLATEAU UNITED,38,19,9,10,49,25,24,66,1.289473684,0.6578947368,1.736842105
MFM FC,38,19,5,14,42,41,1,62,1.105263158,1.078947368,1.631578947
ENYIMBA,38,18,7,13,43,28,15,61,1.131578947,0.7368421053,1.605263158
AKWA UNITED,38,17,9,12,46,30,16,60,1.210526316,0.7894736842,1.578947368
NASARAWA UNITED,38,16,8,14,35,30,5,56,0.9210526316,0.7894736842,1.473684211
EL KANEMI WARRIORS,38,18,2,18,39,43,-4,56,1.026315789,1.131578947,1.473684211
LOBI STARS,38,15,9,14,43,39,4,54,1.131578947,1.026315789,1.421052632
KANO PILLARS,38,16,6,16,38,35,3,54,1,0.9210526316,1.421052632
IFEANYI UBAH,38,15,9,14,39,38,1,54,1.026315789,1,1.421052632
SUNSHINE STARS,38,17,3,18,41,43,-2,54,1.078947368,1.131578947,1.421052632
NIGER TORNADOES,38,16,6,16,31,35,-4,54,0.8157894737,0.9210526316,1.421052632
ABIA WARRIORS,38,15,8,15,44,36,8,53,1.157894737,0.9473684211,1.394736842
WIKKI TOURISTS,38,16,5,17,37,41,-4,53,0.9736842105,1.078947368,1.394736842
ENUGU RANGERS,38,14,11,13,39,44,-5,53,1.026315789,1.157894737,1.394736842
RIVERS UNITED,38,14,10,14,34,33,1,52,0.8947368421,0.8684210526,1.368421053
KATSINA UNITED,38,15,7,16,37,38,-1,52,0.9736842105,1,1.368421053
SHOOTING STARS,38,13,11,14,32,38,-6,50,0.8421052632,1,1.315789474
ABS FC,38,14,7,17,37,50,-13,49,0.9736842105,1.315789474,1.289473684
GOMBE UNITED,38,11,10,17,32,49,-17,43,0.8421052632,1.289473684,1.131578947
REMO STARS,38,7,8,23,27,49,-22,29,0.7105263158,1.289473684,0.7631578947
