TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG
PLATEAU UNITED,25,14,7,4,36,15,21,49,1.44,0.6,1.96
ENYIMBA,25,13,6,6,28,15,13,45,1.12,0.6,1.8
RIVERS UNITED,25,12,7,6,26,19,7,43,1.04,0.76,1.72
LOBI STARS,24,10,7,7,25,20,5,37,1.041666667,0.8333333333,1.541666667
ENUGU RANGERS,20,11,3,6,30,20,10,36,1.5,1,1.8
KANO PILLARS,24,8,10,6,27,18,9,34,1.125,0.75,1.416666667
KATSINA UNITED,24,8,10,6,21,20,1,34,0.875,0.8333333333,1.416666667
AKWA UNITED,25,9,7,9,27,29,-2,34,1.08,1.16,1.36
WARRI WOLVES,24,9,7,8,18,25,-7,34,0.75,1.041666667,1.416666667
SUNSHINE STARS,24,9,6,9,25,23,2,33,1.041666667,0.9583333333,1.375
IFEANYI UBAH,25,8,9,8,24,24,0,33,0.96,0.96,1.32
DAKKADA,25,10,3,12,25,28,-3,33,1,1.12,1.32
HEARTLAND FC,25,9,5,11,21,21,0,32,0.84,0.84,1.28
WIKKI TOURIST,25,8,7,10,19,19,0,31,0.76,0.76,1.24
MFM FC,25,8,7,10,23,24,-1,31,0.92,0.96,1.24
ABIA WARRIORS,25,8,6,11,23,28,-5,30,0.92,1.12,1.2
NASARAWA UNITED,25,8,5,12,27,27,0,29,1.08,1.08,1.16
JIGAWA FC,25,9,2,14,25,35,-10,29,1,1.4,1.16
KWARA UNITED,25,8,4,13,23,33,-10,28,0.92,1.32,1.12
ADAMAWA UNITED,25,6,2,17,17,47,-30,20,0.68,1.88,0.8
