TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG
ENYIMBA,38,19,13,6,48,27,21,70,1.263157895,0.7105263158,1.842105263
WARRI WOLVES,38,19,9,10,62,29,33,66,1.631578947,0.7631578947,1.736842105
NASARAWA UNITED,38,18,9,11,47,35,12,63,1.236842105,0.9210526316,1.657894737
WIKKI TOURIST,38,18,9,11,45,36,9,63,1.184210526,0.9473684211,1.657894737
GIWA FC,38,17,12,9,44,42,2,63,1.157894737,1.105263158,1.657894737
SUNSHINE STARS,38,18,7,13,58,38,20,61,1.526315789,1,1.605263158
HEARTLAND FC,38,17,5,16,46,40,6,56,1.210526316,1.052631579,1.473684211
KANO PILLARS,38,16,7,15,45,39,6,55,1.184210526,1.026315789,1.447368421
SHOOTING STARS,38,15,8,15,39,39,0,53,1.026315789,1.026315789,1.394736842
ABIA WARRIORS,38,16,5,17,39,43,-4,53,1.026315789,1.131578947,1.394736842
IFEANYI UBAH,38,14,8,16,37,40,-3,50,0.9736842105,1.052631579,1.315789474
ENUGU RANGERS,38,13,10,15,46,51,-5,49,1.210526316,1.342105263,1.289473684
EL KANEMI WARRIORS,38,14,7,17,38,56,-18,49,1,1.473684211,1.289473684
LOBI STARS,38,11,14,13,34,39,-5,47,0.8947368421,1.026315789,1.236842105
AKWA UNITED ,38,13,8,17,33,43,-10,47,0.8684210526,1.131578947,1.236842105
RIVERS UNITED,38,11,12,15,38,40,-2,45,1,1.052631579,1.184210526
SHARKS FC,38,11,12,15,28,39,-11,45,0.7368421053,1.026315789,1.184210526
KWARA UNITED,38,12,6,20,32,46,-14,42,0.8421052632,1.210526316,1.105263158
TARABA FC,38,9,10,19,30,47,-17,37,0.7894736842,1.236842105,0.9736842105
BAYELSA UNITED,38,7,13,18,28,48,-20,34,0.7368421053,1.263157895,0.8947368421
