TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG
KANO PILLARS,38,20,3,15,45,39,6,63,1.184210526,1.026315789,1.657894737
ENYIMBA,38,18,8,12,32,19,13,62,0.8421052632,0.5,1.631578947
BAYELSA UNITED,38,19,4,15,42,39,3,61,1.105263158,1.026315789,1.605263158
EL KANEMI WARRIORS,38,18,6,14,41,33,8,60,1.078947368,0.8684210526,1.578947368
ENUGU RANGERS,38,18,4,16,47,37,10,58,1.236842105,0.9736842105,1.526315789
WARRI WOLVES,38,15,10,13,42,33,9,55,1.105263158,0.8684210526,1.447368421
GOMBE UNITED,38,18,1,19,38,46,-8,55,1,1.210526316,1.447368421
SHARKS FC,38,15,8,15,35,32,3,53,0.9210526316,0.8421052632,1.394736842
RIVERS UNITED,38,15,8,15,32,33,-1,53,0.8421052632,0.8684210526,1.394736842
KADUNA UNITED,38,17,2,19,37,45,-8,53,0.9736842105,1.184210526,1.394736842
HEARTLAND FC,38,16,4,18,39,32,7,52,1.026315789,0.8421052632,1.368421053
SUNSHINE STARS,38,15,7,16,39,35,4,52,1.026315789,0.9210526316,1.368421053
NASARAWA UNITED,38,15,7,16,36,41,-5,52,0.9473684211,1.078947368,1.368421053
LOBI STARS,38,15,7,16,35,40,-5,52,0.9210526316,1.052631579,1.368421053
NEMBE CITY FC,38,16,4,18,31,47,-16,52,0.8157894737,1.236842105,1.368421053
AKWA UNITED,38,14,9,15,40,46,-6,51,1.052631579,1.210526316,1.342105263
KWARA UNITED,38,13,11,14,32,32,0,50,0.8421052632,0.8421052632,1.315789474
ABS FC,38,14,8,16,35,43,-8,50,0.9210526316,1.131578947,1.315789474
WIKKI TOURIST,38,15,4,19,40,41,-1,49,1.052631579,1.078947368,1.289473684
SHOOTING STARS,38,13,7,18,41,46,-5,46,1.078947368,1.210526316,1.210526316
